ID,Site_name,Status,Postal code,Coordinates
305,Bristol and Bath Science Park,Active,BS16 7FR,"51.50118, -2.49868"
"1,020",AXA PPP,Active,BS6 6SH,"51.47109, -2.61499"
"1,021",Portway Park and Ride,Active,BS11 9QE,"51.491174, -2.68835"
"1,022",Portway Park and Ride,Active,BS11 9QE,"51.491274, -2.68835"
"1,023","The Grove, Bristol",Active,BS1 4RB,"51.44937760612147, -2.596008889722839"
"1,029",Bristol Zoo Gardens,Active,BS8 3HA,"51.464661, -2.621732"
"1,030",Bristol Zoo Gardens,Active,BS8 3HA,"51.462751, -2.624181"
"1,314",Create Centre,Active,BS1 6XN,"51.4470617, -2.6222561"
"1,362",Childrens Scrapstore,Active,BS2 9LB,"51.4688647, -2.5787298"
"1,675",Knowle West Media Centre,Active,BS4 1NL,"51.4253931, -2.59252"
"1,787",Trenchard Street,Active,BS1 5AN,"51.45547, -2.59984"
"1,788",College Street,Active,BS1 5UU,"51.4521, -2.6036799999999998"
"1,793",West End Car Park,Active,BS8 1JX,"51.454873, -2.60906"
"1,812",Cribbs Causeway Retail Park,Active,BS34 5TX,"51.52614, -2.6006"
"2,064",Temple Gate,Active,BS1 6PL,"51.448168, -2.58584"
"2,231",Southmead Hospital Bristol,Active,BS10 5NB,"51.49869, -2.59427"
"2,344",Bradley Stoke Leisure Centre,Active,BS32 9BS,"51.53552, -2.54594"
"2,578",Avon & Somerset Police HQ,Active,BS20 8JJ,"51.474246, -2.795827"
"2,579",Avon & Somerset Police HQ,Active,BS20 8JJ,"51.474346, -2.795827"
"2,581",Avon & Somerset Police HQ,Active,BS20 8JJ,"51.474546, -2.795827"
"3,435",Create Centre,Active,BS1 6XN,"51.44716, -2.62225"
"3,436",Create Centre,Active,BS1 6XN,"51.44726, -2.62225"
"3,649",City of Bristol College - Ashley Down Centre,Active,BS7 9BU,"51.47554, -2.5839"
"3,650",City of Bristol College - College Green Centre,Active,BS1 5UA,"51.45085, -2.60513"
"3,651",City of Bristol College - College Green Centre,Active,BS1 5UA,"51.45095, -2.60513"
"3,652",City of Bristol College - South Bristol Skills Academy,Active,BS14 0DB,"51.410854, -2.584054"
"3,653",City of Bristol College - South Bristol Skills Academy,Active,BS14 0DB,"51.410954, -2.584054"
"3,666",Regent Arcade,Active,GL50 1JZ,"51.8993, -2.075"
"4,073",Long Ashton Park and Ride,Active,BS3 2HB,"51.43569, -2.63597"
"4,074",Long Ashton Park and Ride,Active,BS3 2HB,"51.43579, -2.63597"
"4,453",Carlton Street Car Park,Active,BS23 1UA,"51.34559, -2.97864"
"4,519","Counterslip, Finzels Reach",Active,BS1 6BX,"51.453, -2.588709"
"4,638",HEFCE - Westward House,Active,BS34 8SR,"51.50941, -2.54927"
"5,811",Temple Gate,Active,BS1 6PL,"51.44816, -2.58384"
"6,268",Southmead Hospital Bristol,Active,BS10 5NB,"51.49647, -2.593189"
"6,269",Southmead Hospital Bristol,Active,BS10 5NB,"51.496474, -2.593139"
"6,270",Southmead Hospital Bristol,Active,BS10 5NB,"51.496463, -2.593109"
"6,271",Southmead Hospital Bristol,Active,BS10 5NB,"51.496483, -2.593058"
"1,014",Trenchard Street,Active,BS1 5AN,"51.45527, -2.59984"
"1,019",West End Car Park,Active,BS8 1JX,"51.455598, -2.609532"
"1,027",Bristol Zoo Gardens,Active,BS8 3HA,"51.462851, -2.624181"
"1,786",Trenchard Street,Active,BS1 5AN,"51.45537, -2.59984"
"1,792",Temple Gate,Active,BS1 6PL,"51.448168, -2.58484"
"1,795",West End Car Park,Active,BS8 1JX,"51.454873, -2.60806"
"1,796",West End Car Park,Active,BS8 1JX,"51.454873, -2.60706"
"1,797",West End Car Park,Active,BS8 1JX,"51.454873, -2.6060600000000003"
"2,580",Avon & Somerset Police HQ,Active,BS20 8JJ,"51.474446, -2.795827"
"3,648",City of Bristol College - Ashley Down Centre,Active,BS7 9BU,"51.47544, -2.5839"
"6,368","Stuart Street, Bristol",Active,BS5 9QN,"51.456094, -2.559405"
"1,789",College Street,Out of service,BS1 5UU,"51.4522, -2.6036799999999998"
"1,791",Temple Gate,Out of service,BS1 6PL,"51.448168, -2.58384"
"1,808",The Mall,Out of service,BS34 5DG,"51.5255, -2.59579"
"1,809",Bristol and Bath Science Park,Out of service,BS16 7FR,"51.50099868789534, -2.478403842575062"
"2,353","Compass Holidays, Cheltenham",Out of service,GL51 7AG,"51.8969, -2.10074"
"2,354",Brislington Park and Ride,Out of service,BS4 5LR,"51.42836, -2.53715"
"2,361",University of Bath,Out of service,BA2 7PD,"51.37870053995466, -2.324672531691021"
"2,362",University of Bath,Out of service,BA2 7PD,"51.378784, -2.3243675"
"2,363",University of Bath,Out of service,BA2 7PD,"51.378829, -2.3243888999999998"
"2,395",Cheltenham Chase Hotel,Out of service,GL3 4PB,"51.8439, -2.1454"
"2,487",Tobacco Factory,Out of service,BS3 1TF,"51.44254, -2.61318"
"2,583",Avon & Somerset Police HQ,Out of service,BS20 8JJ,"51.474746, -2.795827"
"3,667",Town Centre East,Out of service,GL52 2SA,"51.89936, -2.0706"
"4,071",Brislington Park and Ride,Out of service,BS4 5LR,"51.42846, -2.53715"
"4,072",Brislington Park and Ride,Out of service,BS4 5LR,"51.42856, -2.53715"
"5,819",Trenchard Street,Out of service,BS1 5AN,"51.454954, -2.598501"
"5,820",Trenchard Street,Out of service,BS1 5AN,"51.455436, -2.59818"
